Question,A,B,C,D
"Nếu một website bị vi phạm chính sách sử dụng và bị đình chỉ hoạt động, thì chức năng nào sau đây nhiều khả năng sẽ được sử dụng để quản lý tình huống này?",Quản lý tài chính & tạo phiếu chi,Công cụ quản lý & truy cập database,Website – Đình chỉ website & quản lý thông tin khách hàng,"Cấu hình API & Tích hợp robots, sitemap"
"Một hộp tổ hợp không dây FSMBL-001 có thể quản lý tối đa bao nhiêu đầu báo khói, và khoảng cách tối đa từ đầu báo khói WSD-1 đến hộp tổ hợp trong điều kiện có vật cản là bao nhiêu mét?",20 đầu báo – 20m,50 đầu báo – 30m,30 đầu báo – 25m,30 đầu báo – 30m
Vì sao quy chuẩn yêu cầu các tuyến điện 110 kV và 220 kV trong nội thị đô thị loại II trở lên phải đi ngầm?,Vì chi phí xây dựng ngầm thấp hơn so với đường dây nổi.,"Vì đi ngầm giúp tăng thẩm mỹ đô thị, đảm bảo an toàn và giảm rủi ro tai nạn cháy nổ.",Vì đường dây ngầm có thể truyền tải điện nhiều hơn đường dây nổi.,"Vì luật bắt buộc tất cả các loại lưới điện đều phải đi ngầm, không phụ thuộc cấp điện áp."
"Trong bối cảnh cạnh tranh hiện nay, việc áp dụng 5S mang lại lợi ích chiến lược nào?",Tăng chi phí sản xuất,Giúp nâng cao năng lực cạnh tranh nhờ chi phí thấp và chất lượng cao,Giảm tính kỷ luật của nhân viên,Chỉ cải thiện hình thức bên ngoài
Quy trình bảo dưỡng định kỳ máy biến áp khô gồm có bao nhiêu hạng mục kiểm tra chính?,8 hạng mục,10 hạng mục,11 hạng mục,13 hạng mục
Tổng lưu lượng tính toán của hệ thống Drencher trên một khu vực được bảo vệ được xác định bởi công thức nào?,$Q_d = \sum_{n=1}^{N} q_n$,$Q_d = \dfrac{1}{N}\sum_{n=1}^{N} q_n$,$Q_d = N \cdot \max(q_n)$,$Q_d = \sqrt{\sum_{n=1}^{N} q_n}$
"Theo kết quả từ phương pháp MM-PBSA, hai dẫn xuất nào có ái lực mạnh nhất với Amyloid beta 1-40 peptid và giá trị năng lượng tự do liên kết (ΔGbind) trung bình tương ứng của chúng là bao nhiêu?",VK3-2 và VK3-6; khoảng -9.41 và -3.37 kcal.mol-1,VK3-9 và VK3-10; khoảng -15.41 và -12.42 kcal.mol-1,VK3-221 và VK3-6; khoảng -6.12 và -3.37 kcal.mol-1,VK3-10 và Curcumin; khoảng -12.42 và -14.3 kcal.mol-1
"Trong quá trình xử lý dữ liệu thô bằng phần mềm Trimmomatic, các đoạn đọc có độ dài ngắn hơn bao nhiêu base pair (bp) sẽ bị loại bỏ?",20 bp," 
36 bp"," 
201 bp"," 
450 bp"
Mục tiêu chính của Cloud Service Hub đối với doanh nghiệp là gì?,Giúp tăng tốc độ xử lý và giảm chi phí không cần thiết,Thay thế toàn bộ các dịch vụ đám mây hiện tại,Giúp người dùng không cần kết nối internet khi làm việc,Chỉ tập trung vào việc in ấn tài liệu
"Trong bảo dưỡng hệ thống tủ điện, nội dung nào yêu cầu quét nhiệt thiết bị, và nội dung nào yêu cầu vệ sinh công nghiệp tủ điện?",Quét nhiệt áp dụng khi kiểm tra thanh cái; vệ sinh công nghiệp chỉ thực hiện hàng năm,Quét nhiệt áp dụng khi kiểm tra tổng thể; vệ sinh công nghiệp thực hiện định kỳ hàng tháng hoặc 6 tháng.,Quét nhiệt áp dụng với thiết bị chống sét; vệ sinh công nghiệp chỉ khi có sự cố,Quét nhiệt áp dụng trong kiểm tra log sự kiện; vệ sinh công nghiệp trong bảo trì cáp tín hiệu.
Chức năng Website trong mục Dịch vụ KHÔNG bao gồm tính năng nào sau đây?,Cài SSL cho website,Đổi mật khẩu tài khoản đăng nhập website,Quản lý số dư tài khoản thành viên,Nhân bản website
"Áp kế piston chuẩn (0,04–2) bar có những cấp chính xác nào?","0,015 và 0,008","0,015 và 0,025","0,008 và 0,05","0,02 và 0,08"
"Nếu chi tiết chưa được ràng buộc đầy đủ trong lắp ráp, hậu quả là gì?",Chi tiết bị xóa,Chi tiết tự động đối xứng,Chi tiết biến mất khi mô phỏng,Chi tiết có thể di chuyển tự do ngoài ý muốn
"“Sàng lọc” (Seiri) và “Sắp xếp” (Seiton) khác nhau thế nào, và tác động gì đến môi trường làm việc?",Seiri: loại bỏ vật dụng không cần thiết; Seiton: bố trí hợp lý; cả hai giúp sử dụng không gian và thời gian hiệu quả,Seiri: làm sạch máy móc; Seiton: đào tạo nhân viên; cả hai giúp nâng cao kỹ năng,Seiri: quy định ca làm việc; Seiton: ghi chép báo cáo; cả hai giúp quản trị nhân sự,Seiri: bảo dưỡng thiết bị; Seiton: sửa lỗi sản phẩm; cả hai giúp giảm sự cố
Transistor thường được sử dụng trong ứng dụng nào?,Đèn LED,Tụ điện,Mạch khuếch đại và điều khiển tín hiệu,Cuộn cảm
nhu cầu dùng nước dài hạn (20 năm) đối với đô thị loại I là bao nhiêu lít/người-ngày,≥150 lít/người-ngày,≥180 lít/người-ngày,≥200 lít/người-ngày,≥220 lít/người-ngày
"Theo Bảng 3, sai số trung phương (RMSE) và sai số tuyệt đối (MAE) của thuật toán nội suy Hồi quy tuyến tính (LR) lần lượt là bao nhiêu?",2.15e-05 và 0.0034,3.79e-06 và 0.0010,3.26e-05 và 0.0044,2.15e-05 và 0.0010
Khái niệm nào mô tả một sự kiện ATTT có khả năng ảnh hưởng đáng kể đến hoạt động nghiệp vụ và đe dọa an toàn thông tin?,Sự kiện an toàn thông tin,Sự cố an toàn thông tin,Cảnh báo sai (False Positive),Ticket ATTT
Ổ đỡ trong sơ đồ truyền động cơ khí có vai trò gì?,Chỉ truyền mô men xoắn,Kết nối giữa hai trục,Đỡ và dẫn hướng trục quay,Biến chuyển động quay thành tịnh tiến
Trình bày ưu và nhược điểm chính khi lựa chọn nhôm thay vì thép làm tấm định hình.,"Nhôm rẻ hơn, dễ gỉ hơn","Nhôm nặng hơn, dễ hỏng hơn","Nhôm nhẹ hơn, ít gỉ hơn nhưng đắt hơn thép","Nhôm dễ gỉ hơn, rẻ hơn thép"
Máy X-quang kỹ thuật số (DR) 2 tấm cảm biến có tần số cao tần của tủ điều khiển và nguồn phát tia là bao nhiêu?,40 kHz,60 kHz,120 kHz,200 kHz
"Trong sơ đồ truyền động cơ khí, ký hiệu quy ước của ổ đỡ chặn là gì?",Ổ trượt,Ổ chặn,Ổ đũa đỡ,Ổ đỡ cầu tự
"Theo kết quả docking, dẫn xuất VK3 nào được nhận xét là có khả năng phá hủy sự kết tập của các Aβ peptid mạnh nhất?",VK3-10,VK-224,VK3-6,VK3-5
"Theo Bảng 5.2, tổng công suất các nhà máy xử lý nước hiện có vào năm 2012 và dự kiến vào năm 2015 lần lượt là bao nhiêu?",211.000 m³/ngày và 238.600 m³/ngày,208.600 m³/ngày và 328.600 m³/ngày,208.600 m³/ngày và 238.600 m³/ngày,211.000 m³/ngày và 328.600 m³/ngày
"Nếu chỉ số giao hàng đúng hẹn đạt 70% và mục tiêu là 99%, vấn đề cải tiến nào cần thực hiện?",Cải tiến thời gian giao hàng để tăng tỉ lệ đúng hẹn,Tăng giá bán sản phẩm,Cắt giảm số lượng khách hàng,Thêm sản phẩm mới
"Theo kế hoạch thực hiện dự án, thời gian để hoàn thành việc lựa chọn tư vấn là bao lâu?",12 Tháng,11 Tháng,14 Tháng,36 Tháng
"Dựa vào chi phí xây dựng cơ bản của 'Tuyến ống phân phối' theo mức giá tháng 3/2013 và tỷ lệ tăng giá 105% được nêu trong tài liệu, hãy tính toán chi phí xây dựng cơ bản đã được điều chỉnh của hạng mục này vào tháng 6/2014 (chỉ tính phần nội tệ).","Khoảng 1.024,7 tỷ VND","Khoảng 1.362,4 tỷ VND","Khoảng 1.297,5 tỷ VND","Khoảng 1.075,9 tỷ VND"
Những yêu cầu nào cần được đảm bảo khi lắp đặt trang thiết bị tại khoa xét nghiệm?,Vị trí lắp đặt phù hợp với luồng công việc,"Điều kiện môi trường (nhiệt độ, độ ẩm) theo quy định của nhà sản xuất",Thay thế phụ tùng ngay sau khi vận hành lần đầu,Nguồn điện phù hợp
"Khi đo độ dày của thép tấm theo tiêu chuẩn BS EN 10143:2006, khoảng cách tối thiểu từ mép đo là bao nhiêu? Đồng thời, đâu là ưu điểm chính của lõi polyurethane so với polystyrene trong panen sandwich?",20 mm; chống cháy tốt hơn polystyrene,10 mm; giá thành rẻ hơn,40 mm; khả năng cách nhiệt tốt hơn,50 mm; nhẹ hơn nên giảm khung chịu lực
Khối lượng vận chuyển đất bằng ô tô tự đổ (ô tô 7T) cự ly 1km đầu và 3km tiếp theo trong phần móng lần lượt là bao nhiêu?,"140,248 m³ và 140,248 m³","241,696 m³ và 26,855 m³","147,355 m³ và 147,355 m³","130,403 m³ và 130,403 m³"
Danh mục trong tài liệu Public_628 được trình bày theo các cột thông tin nào?,"STT, Tên máy móc thiết bị, Đơn vị tính, Số lượng tối đa, Mục đích sử dụng, Ghi chú","Tên thiết bị, Xuất xứ, Giá tiền, Năm sản xuất","STT, Tên thiết bị, Nhà cung cấp, Thời gian bảo hành","Mã hiệu, Loại thiết bị, Giá trị, Trọng lượng"
"Với mối hàn góc ngắt quãng, ngoài các kích thước cơ bản cần bổ sung thêm thông số nào?",Đường kính que hàn,Loại vật liệu hàn,Nhiệt độ nung chảy,"Chiều dài đoạn hàn l, khoảng cách e, số đoạn n"
"Một nhà thầu nộp hồ sơ với các nội dung sau:
- Đề xuất thời gian thi công 110 ngày và kèm biểu đồ tiến độ phù hợp;Có kế hoạch quản lý chất lượng và kế hoạch nghiệm thu phù hợp;
- Thời gian bảo hành cho toàn bộ công trình: 6 tháng, nhưng hệ thống đèn LED được bảo hành 5 năm;
- Thời gian phản hồi khi có yêu cầu bảo hành: 48 giờ.
- Theo tiêu chí đánh giá kỹ thuật trong hồ sơ, nhà thầu này sẽ được đánh giá là:","Đạt — vì tiến độ, quản lý chất lượng và bảo hành đèn LED đều đáp ứng yêu cầu.",Không đạt — vì thời gian bảo hành tổng thể < 12 tháng (một tiêu chuẩn bắt buộc).,"Đạt — vì chỉ cần các tiêu chuẩn chi tiết chính (ví dụ tiến độ, chất lượng, an toàn) đạt là đủ.",Không đạt — vì thời gian phản hồi bảo hành 48 giờ là quá chậm (quy định yêu cầu 24 giờ).
"Trong công tác bảo dưỡng máy biến áp dầu, cần kiểm tra những hạng mục nào, và giá trị thí nghiệm dầu cách điện phải đạt bao nhiêu?",Kiểm tra bộ làm mát và quạt; giá trị điện áp đánh thủng của dầu ≥ 10kV,"Kiểm tra van áp suất, chỉ thị mức dầu, rơ le hơi; giá trị điện áp đánh thủng của dầu ≥ 30kV",Kiểm tra relay bảo vệ; giá trị điện áp đánh thủng của dầu ≥ 15kV,Kiểm tra bộ chuyển nấc tự động; giá trị điện áp đánh thủng của dầu ≥ 25kV
Điện trở suất của đồng đỏ là bao nhiêu?,"0,0175 Ω·mm²/m","0,028 Ω·mm²/m","0,07 Ω·mm²/m","0,115 Ω·mm²/m"
"Khi vẽ biểu đồ phân bố, tại sao việc chọn độ rộng lớp hợp lý lại quan trọng?",Vì để giảm chi phí thống kê,Vì ảnh hưởng trực tiếp đến hình dạng và khả năng diễn giải,Vì để tăng số liệu,Vì dễ dàng so sánh với Six Sigma
"Khi trunk A gặp sự cố, trong bao lâu RCE sẽ chuyển sang trunk B?",1–5 giây,5–10 giây,15–30 giây,>60 giây
Giá trị điện trở tiếp địa trạm biến áp cần đảm bảo ở mức nào theo quy định?,≤ 2Ω,≤ 4Ω,≤ 6Ω,≤ 10Ω
"Theo Bảng 2.7, tỉnh nào có số thôn chưa có điện cao nhất trong vùng TDMNPB?",Hà Giang,Sơn La, Điện Biên,Cao Bằng 
"So sánh dữ liệu trong Bảng 3.2 và Bảng 3.3, quá trình trimming (xử lý dữ liệu thô) đã ảnh hưởng đến dữ liệu giải trình tự như thế nào?","Cả số lượng đoạn đọc và chỉ số chất lượng (Q20, Q30) đều giảm.",Số lượng đoạn đọc tăng nhưng chỉ số chất lượng giảm nhẹ.,"Số lượng đoạn đọc tổng thể giảm nhưng các chỉ số chất lượng (Q20, Q30) tăng lên.",Số lượng đoạn đọc và chỉ số chất lượng không có sự thay đổi đáng kể.
"Nếu phân bố lệch nhiều sang bên trái, điều này ám chỉ gì về sản xuất?",Có xu hướng sản xuất dưới chuẩn,Có nhiều sai số ngẫu nhiên,Có sự cố về đo lường,Không có vấn đề
Giải pháp bảo vệ thông tin cá nhân của người dùng cần đảm bảo điều kiện nào sau đây?,Ngăn chặn mất mát và rò rỉ thông tin cá nhân,Chỉ cho phép thay đổi thông tin khi có sự đồng ý của q,Sử dụng giao tiếp qua kênh TLS giữa các thành phần,Cho phép quản trị viên tạo chứng thư điện tử tự ký
"Trong số các mục tiêu được khảo sát, mục tiêu nào có hệ số tương quan (R) về năng lượng liên kết tốt nhất so với WT-Aβ40?",Aβ40-1BA4,12Aβ9-40,18Aβ9-40,5Aβ17-42
Thành phần đầu tiên trong lắp ráp thường phải được gán trạng thái gì?,Cố định (Fixed),Di động tự do,Chỉ có một bậc tự do,Bị ràng buộc song song
Có tổng cộng bao nhiêu điểm độ cao hạng IV được sử dụng để khảo sát độ chính xác đo cao GPS?,7,67,81,74
Chi phí xây dựng cơ bản đã được điều chỉnh (theo mức giá tháng 6/2014) cho hạng mục Hồ điều tiết và hạng mục Đền bù và giải tỏa là bao nhiêu?,"Khoảng 138,2 tỷ VND và 372,3 tỷ VND","Khoảng 131,7 tỷ VND và 354,6 tỷ VND","Khoảng 138,2 tỷ VND và 354,6 tỷ VND","Khoảng 131,7 tỷ VND và 372,3 tỷ VND"
Biểu đồ phân bố lần đầu tiên do ai sử dụng và vào năm nào?,"Karl Pearson, 1880","Karl Pearson, 1895","Ronald Fisher, 1920","W. Shewhart, 1931"
"Theo Bảng 5.9, công suất xử lý thiết kế của Bể lọc cát nhanh trong Giai đoạn IA là bao nhiêu?",624.000 m³/ngày,312.000 m³/ngày,156.000 m³/ngày,Không được xây dựng trong Giai đoạn IA
"Nếu tốc độ truyền của mạng cáp quang là 100 Mbps, trong 10 giây có thể tải về bao nhiêu MB dữ liệu (giả sử 1 Byte = 8 bit)?",50 MB,100 MB,200 MB,125 MB
"Nội dung chính của tài liệu ""TIÊU CHUẨN TRỤC NƯỚC CHỮA CHÁY"" là gì?",Hướng dẫn quy trình vận hành trụ nước chữa cháy cho lính cứu hỏa trong các tình huống khẩn cấp,Chỉ tập trung phân tích thành phần hóa học và cơ tính của các vật liệu dùng để chế tạo trụ nước,"Quy định các thông số, yêu cầu kỹ thuật, phương pháp thử, và các yêu cầu về lắp đặt, vận hành đối với trụ nước chữa cháy lắp trong hệ thống cấp nước",So sánh hiệu quả giữa trụ nước chữa cháy nổi và trụ nước chữa cháy ngầm trong các điều kiện thực tế khác nhau
Chỉ tiêu phụ tải sinh hoạt (W/người) giai đoạn dài hạn đối với đô thị loại đặc biệt là bao nhiêu?,500 W/người,700 W/người,800 W/người,1000 W/người
"Nội dung chính của tài liệu ""GIẢI PHÁP PHÁT TRIỂN THÀNH PHỐ THÔNG MINH TỈNH BẮC GIANG"" là gì?",Chỉ tập trung vào việc xây dựng hệ thống cơ sở dữ liệu cho ngành giáo dục tỉnh Bắc Giang,Phân tích các nguyên tắc của Kiến trúc ICT và so sánh với mô hình Chính quyền điện tử,"Đề xuất các giải pháp, nhóm nhiệm vụ và lộ trình ưu tiên để phát triển thành phố thông minh tại tỉnh Bắc Giang, bao gồm kiến trúc ICT, hạ tầng và các lĩnh vực ứng dụng cụ thể","Hướng dẫn chi tiết cách triển khai kỹ thuật cho Trung tâm dữ liệu theo mô hình ""xanh"". "
"Theo kết quả phân tích hồi quy tổng hợp, chiến lược cạnh tranh nào có tác động lớn nhất đến hiệu quả kinh doanh của các doanh nghiệp thực phẩm Việt Nam (dựa trên hệ số Beta)?",CLCT khác biệt hóa,CLCT chi phí thấp,CLCT tập trung,Cả ba tác động như nhau
"Nếu dòng điện cực đại của nguồn 230 VAC là 0.25 A, công suất tiêu thụ cực đại của RCE khoảng bao nhiêu?",25 W,"57,5 W",110 W,250 W
"Trong quy trình quản lý trang thiết bị, tủ lạnh cần được theo dõi nhiệt độ với tần suất như thế nào, và pipet được hiệu chuẩn định kỳ theo chu kỳ bao lâu?",Tủ lạnh theo dõi nhiệt độ hàng ngày; pipet hiệu chuẩn hàng năm,Tủ lạnh theo dõi nhiệt độ hàng tuần; pipet hiệu chuẩn hàng năm,Tủ lạnh theo dõi nhiệt độ hàng ngày; pipet hiệu chuẩn 6 tháng,Tủ lạnh theo dõi nhiệt độ hàng tuần; pipet hiệu chuẩn 6 tháng
Có bao nhiêu bước chính trong quá trình triển khai hệ thống ảo hóa được nêu trong tài liệu Public_609?,5 bước,6 bước,7 bước,8 bước
Tóm tắt các loại cáp quang phổ biến và ứng dụng của chúng.,"FTTH, luồn cống, dã chiến, treo, chôn trực tiếp, ADSS – dùng trong gia đình, viễn thông, quân đội, truyền dẫn xa",Chỉ có FTTH cho hộ gia đình,Chỉ có ADSS cho đường dài,Chỉ có cáp luồn cống và treo
"Nếu tổ chức chỉ thực hiện S1 và S2 mà bỏ qua các S khác, hậu quả là gì?","Môi trường ban đầu có cải thiện nhưng khó duy trì lâu dài, dễ quay lại tình trạng cũ",Tổ chức đạt chuẩn ISO ngay lập tức,Nhân viên không cần tham gia duy trì,Tạo hiệu quả bền vững hơn so với đủ 5S
Nếu bạn muốn thiết kế mạch điều chỉnh độ sáng đèn thì linh kiện nào phù hợp nhất?,Tụ gốm,Biến trở,Diode,Cảm biến nhiệt
Có bao nhiêu nhóm chỉ tiêu cấp điện chính được quy định,2 mức,3 mức,4 mức,5 mức
"Bình chuẩn dung tích kim loại 10L - CCX ≤ 0,02 có số lượng tối đa là bao nhiêu?",2,3,1,5
Công cụ Drive Constraint có tác dụng gì trong lắp ráp?,Di chuyển toàn bộ cụm lắp,Mô phỏng chuyển động theo ràng buộc đã gán,Tạo trục quay mới,Phóng to chi tiết
Cáp quang được chia thành mấy loại chính?,2 loại: Multimode và Singlemode,"3 loại: Treo, Chôn, FTTH","4 loại: Luồn cống, Treo, ADSS, Dã chiến","5 loại: Multimode, Singlemode, FTTH, ADSS, Treo"
"Theo tài liệu, quá trình kiểm tra chữ ký số gồm bước so sánh hai chuỗi đại diện MD1 và MD2. Nếu một kẻ tấn công thay đổi nội dung thông điệp trong quá trình truyền nhưng không có khóa riêng của người gửi, điều gì sẽ xảy ra?



",MD1 và MD2 vẫn trùng nhau vì chỉ cần khóa công khai,"MD1 và MD2 khác nhau, chữ ký số bị báo sai, phát hiện có sửa đổi ",MD1 và MD2 khác nhau nhưng hệ thống vẫn chấp nhận thông điệp, MD1 và MD2 luôn bằng nhau do đặc điểm của giải thuật băm
Các loại vật liệu lõi thường dùng cho panen sandwich là gì?,"Thép, nhôm, gỗ","Nhựa dẻo, composite, bê tông","Sợi thủy tinh, PVC, nhôm xốp","Bông khoáng, giấy tổ ong, polystyrene, polyurethane"
Tóm tắt các đặc tính nổi bật của hệ thống báo cháy không dây WSD-1.,"Tự động kết nối, không cần tuân thủ TCVN","Kết nối tối đa 10 thiết bị/tổ hợp, truyền sóng 2.4GHz","Tuân thủ ISO & TCVN, kết nối tối đa 30 đầu báo/tổ hợp, dùng pin 9V đến 36 tháng, LED 360°, loa 90dB",Chỉ dùng cho tòa nhà dưới 3 tầng
"Khi dùng Angle Constraint bạn cần chỉ định những gì, và Drive Constraint được dùng để làm gì trong mô phỏng lắp ráp?",Angle: chọn hai mặt/đường (hoặc một mặt và một trục) và nhập giá trị góc; Drive Constraint: mô phỏng/điều khiển chuyển động theo các ràng buộc đã gán để kiểm tra cơ chế.,Angle: chỉ chọn một điểm; Drive Constraint: tự động sửa ràng buộc thiếu.,Angle: chỉ dùng cho trục quay; Drive Constraint: tạo báo cáo dung sai.,Angle: tự tính góc từ mặt; Drive Constraint: xuất file 3D để in.
Hãy tóm tắt quy trình cài đặt RCE từ khi lắp đặt đến khi thiết bị sẵn sàng hoạt động.,Chỉ cần cắm nguồn và bật máy,"Chỉ cần cắm trunk A, trunk B",Chỉ cần reset thiết bị rồi chờ đèn sáng,"Gồm lắp rack, kết nối giắc tín hiệu và nguồn, nối đất, bật nguồn, đồng bộ trunk, kiểm tra đèn LED và reset nếu cần"
"Theo tiêu chuẩn đánh giá kỹ thuật trong hồ sơ dự thầu, thời gian thi công tối đa được chấp nhận là bao nhiêu ngày (không tính trường hợp bất khả kháng)?",90 ngày,100 ngày,120 ngày,150 ngày
Đâu là nhận định tổng quan đúng nhất về thực trạng phát triển nguồn cung sản phẩm năng lượng tái tạo tại vùng Trung du miền núi phía Bắc được nêu trong tài liệu?,"Năng lượng mặt trời đang được phát triển mạnh mẽ nhất với hàng nghìn dự án quy mô lớn, vượt qua cả tiềm năng thủy điện."," Mọi nguồn năng lượng tái tạo tiềm năng như thủy điện, mặt trời, sinh khối, gió, địa nhiệt đều đã được khai thác ở quy mô công nghiệp.","Thủy điện là nguồn năng lượng được khai thác mạnh mẽ và chiếm ưu thế tuyệt đối, trong khi các nguồn khác như điện mặt trời và sinh khối phát triển chậm với quy mô còn nhỏ",Các dự án nhiên liệu sinh học (Ethanol) và khí sinh học quy mô trang trại là nguồn cung năng lượng tái tạo lớn thứ hai sau thủy điện
"Quy trình giám sát, xử lý và ứng cứu sự cố an toàn thông tin gồm có bao nhiêu bước?",7 bước,8 bước,10 bước,12 bước
Có bao nhiêu chủng nấm men được lựa chọn để tiến hành các thí nghiệm tiếp theo sau khi đánh giá hoạt lực lên men và khả năng tạo hương?,8,6,4,2
Biểu đồ phân bố hỗ trợ đánh giá năng lực quá trình như thế nào?,Chỉ cho biết dữ liệu trung bình,Chỉ cho biết dữ liệu tối đa,So sánh phân bố dữ liệu với dung sai và chuẩn,Không có tác dụng
"Theo tiêu chuẩn BS EN 10143:2006, việc đo độ dày thép cần cách mép bao nhiêu mm?",10 mm,40 mm,50 mm,25 mm
Toyota Raize 2024 được trang bị những hệ thống an toàn nào?,Chỉ có 2 túi khí và ABS,"ABS, EBD, VSC nhưng không có HAC","6 túi khí, ABS, EBD, VSC, TRC, HAC, cảnh báo điểm mù, camera lùi",Có 4 túi khí
Giá bán lẻ niêm yết thấp nhất của Toyota Raize 2024 là bao nhiêu?,510.000.000 đồng,498.000.000 đồng,506.000.000 đồng,500.000.000 đồng
Vì sao then hoa có khả năng truyền mômen lớn hơn then thường?,Do dễ tháo lắp,Do có nhiều răng phân bố đều quanh chu vi trục,Do dùng vật liệu đặc biệt,Do không cần bôi trơn
"So với mối ghép bằng then, mối ghép then hoa có ưu điểm gì trong sản xuất hàng loạt?",Lắp ráp chặt hơn nhưng khó tháo,Giảm chi phí vật liệu,Không cần gia công trục,"Đảm bảo truyền tải lớn, chính xác, dễ tháo lắp"
Bộ lọc thấp và bộ lọc cao cho phép tần số như thế nào?,≤ f_c; ≥ f_c,≥ f_c; ≤ f_c,≤ f_c; ≤ f_c,≥ f_c; ≥ f_c
Tóm tắt mục đích của phần thực hành trong tài liệu Public_478.,Xây dựng và so sánh bộ lọc FIR và IIR;…,Thiết kế hệ thống mờ và so sánh thuật toán mờ,Mô phỏng các tín hiệu cơ bản và tích chập,Tối ưu tham số bằng GA và PSO
"Trong nhóm bánh răng trụ, có những loại nào và ưu điểm chung của chúng là gì?","Răng thẳng, răng nghiêng – ưu điểm: dễ chế tạo, giá thành thấp","Răng thẳng, răng nghiêng, răng chữ V – ưu điểm: truyền động êm, hiệu suất cao","Răng thẳng, răng nghiêng, nối bản lề – ưu điểm: giảm rung","Răng chữ V, nối di động – ưu điểm: linh hoạt"
Tủ điện định kỳ được Phòng Dịch vụ Trung tâm Dữ liệu (DV TTDL) phối hợp lập kế hoạch bảo dưỡng theo chu kỳ bao lâu?,3 tháng/lầ,6 tháng/lần,12 tháng/lần,Hàng tháng
"Dựa trên mô tả quá trình cấp và sử dụng chứng chỉ số trong PKI, đâu là ý nghĩa cốt lõi hoặc vai trò chính của quá trình này?","PKI chỉ liên quan đến phần mềm, không có thành phần con người","PKI là một hạ tầng phức hợp gồm phần cứng, phần mềm, nhân lực, chính sách và thủ tục, bảo đảm việc cấp phát, quản lý và xác thực chứng chỉ số ","PKI chỉ cần CA là đủ, không cần các thành phần khác"," PKI chỉ dùng trong giao dịch thương mại điện tử, không áp dụng cho lĩnh vực khác"
Mạng cáp quang FTTH là gì và có ưu điểm nổi bật nào so với cáp đồng truyền thống?,Cáp treo gia cường; chống tác động cơ học tốt,Cáp đồng trục; truyền hình ổn định,Internet cáp quang đến hộ gia đình; tốc độ cao và ổn định,Cáp điện; dễ thi công lắp đặt
Tại sao trong mô hình hạ tầng ban đầu (chưa ảo hóa) mỗi dịch vụ thường chạy trên một server vật lý riêng biệt?,Để tận dụng tối đa tài nguyên máy chủ vật lý,Để tránh xung đột giữa các dịch vụ,Để tiết kiệm chi phí vận hành,Để giảm thiểu việc sao lưu dữ liệu
"Trong hệ thống yêu cầu truyền động chính xác, không trượt, nên chọn bộ truyền nào?",Bộ truyền đai dẹt,Bộ truyền ma sát côn,Bộ truyền bánh răng trụ,Nối đàn hồi
