Question,A,B,C,D
"Khi nào cần dùng mối ghép then hoa, và có những dạng răng nào thường gặp?",Khi truyền tải nhỏ; răng hình thang,Khi lắp tạm thời; răng cong,"Khi truyền mômen lớn; răng chữ nhật, thân khai, tam giác",Khi chỉ cần định vị; răng vát xiên
Tại sao khi lắp ráp nên chia nhỏ thành các cụm lắp con?,Giúp dễ quản lý và tiết kiệm thời gian xử lý,Giảm số chi tiết cơ khí,Đảm bảo độ chính xác tuyệt đối,Tránh cần ràng buộc
"Khi vẽ sơ đồ chuỗi giá trị, cần xác định những dòng thông tin nào từ khách hàng và nhà cung ứng?","Thông tin đơn hàng, số lượng, cam kết giao hàng; nhu cầu vật tư và khả năng đáp ứng",Thông tin marketing và giá bán,Chỉ thông tin kho thành phẩm,Chỉ số nhân công và chi phí vận hành
"Dựa vào tài liệu Public_586, chi phí xây dựng đập chắn bằng tường bê tông cao hơn bao nhiêu so với phương án xây bằng đá hộc có độ dốc?","5,5 triệu USD","14,0 triệu USD","8,5 triệu USD","19,5 triệu USD"
"Trong tài liệu Public_632, có tổng cộng bao nhiêu loại thiết bị được mô tả chi tiết kèm yêu cầu kỹ thuật?",2,3,4,5
"Nếu trên bản vẽ không ghi rõ chiều dài đoạn hàn trong mối hàn ngắt quãng, hậu quả là gì?",Không ảnh hưởng,Người gia công khó xác định và có thể hàn sai quy cách,Mối hàn luôn bền hơn,Tự động lấy chiều dài chuẩn
"Theo Bảng 3.9 tài liệu Public_595, hàm lượng rượu và đường sót ở môi trường lên men có pH ban đầu là 4 lần lượt là bao nhiêu?","11,03% V/V và 5,57 g/l","10,08% V/V và 5,03 g/l","11,16% V/V và 4,48 g/l","11,01% V/V và 4,64 g/l"
"Theo Bảng 3.1, chỉ số độ sạch (A260/A280) của mẫu RNA C4.1 là bao nhiêu?","1,96"," 
2,08"," 
2,11"," 
1,90"
Nội dung chính của Giai đoạn I trong Kế hoạch triển khai dự án cấp nước tỉnh Bình Dương là gì?,Chỉ bao gồm xây dựng công trình và dịch vụ kỹ thuật.,Chỉ bao gồm phần chuẩn bị của chủ dự án và thu hồi đất.,"Bao gồm Xây dựng công trình, Dịch vụ Kỹ thuật, và Phần chuẩn bị của chủ dự án.","Bao gồm Vận hành, bảo dưỡng và giám sát xây dựng."
"Dựa vào Bảng 3.1, hãy tính năng lượng liên kết trung bình của dẫn xuất VK3-1 trên cả 6 mục tiêu gắn kết được liệt kê.",-7.26 kcal.mol-1,-6.33 kcal.mol-1,-5.88 kcal.mol-1,-6.58 kcal.mol-1
"Theo tài liệu, đơn vị nào chủ trì nhiệm vụ ""Xây dựng Trung tâm điều hành thành phố thông minh""?", Văn phòng Ủy ban nhân dân tỉnh,Sở Giáo dục và Đào tạo,Sở Thông tin và Truyền thông,Các doanh nghiệp viễn thông 
"Hình dạng 'chuông' của biểu đồ phân bố phản ánh điều gì, và ý nghĩa quản lý là gì?","Quá trình ổn định, phân bố chuẩn",Dữ liệu bị pha trộn,Có giá trị bất thường,Độ rộng nhóm không phù hợp
"Theo điều kiện số lượng đầu phun tối thiểu $n \ge \dfrac{S}{\Omega}$ với $\Omega = L^2$. Nếu diện tích cần bảo vệ $S=180\,\mathrm{m^2}$ và khoảng cách giữa các đầu phun $L=3\,\mathrm{m}$, hãy chọn $n$ nhỏ nhất thỏa mãn.",20,18,22,15
"chỉ tiêu cấp điện cho trường học phổ thông có điều hòa nhiệt độ là bao nhiêu, và chỉ tiêu cho nhà trẻ/mẫu giáo không có điều hòa là bao nhiêu?","0,1 kW/HS và 0,15 kW/cháu","0,15 kW/HS và 0,2 kW/cháu","0,2 kW/HS và 0,1 kW/cháu","0,25 kW/HS và 0,3 kW/cháu"
"Trong chức năng Website, người dùng có thể thực hiện những thao tác nào sau đây",Đổi mật khẩu tài khoản đăng nhập website,Xem lịch sử IP đăng nhập tài khoản,Nhân bản website,Quản lý phiếu chi
"Nếu biểu đồ phân bố có dạng 2 đỉnh, điều này cho thấy gì và cần làm gì?",Quá trình rất ổn định,Dữ liệu bị cắt cụt,Do công cụ đo sai,Hai phân bố khác nhau bị trộn lẫn
Nguồn pin 9V của đầu báo WSD-1 có thể sử dụng liên tục tối đa bao lâu?,36 tháng,24 tháng,12 tháng,48 tháng
"Trong tiêu chí an toàn thông tin cho hạ tầng điện toán đám mây, có bao nhiêu tính năng cơ bản được liệt kê trong phần “Yêu cầu cơ bản về tính năng an toàn thông tin”?",10,12,14,15
"Dựa vào Bảng 1, chiều cao của trụ nổi chênh lệch so với trụ ngầm là bao nhiêu?",530 mm,970 mm,1500 mm,2470 mm
Bộ truyền xích khác bộ truyền đai ở điểm nào?,Đều dùng ma sát để truyền động,Đai và xích đều không ăn khớp,"Xích dễ trượt, đai không trượt","Xích truyền động bằng ăn khớp, đai truyền động bằng ma sát"
Có bao nhiêu chức năng trong hệ thống WEB2S_V23.10,5 chức năng,6 chức năng,7 chức năng,8 chức năng
"Nếu tham số insecure trong cấu hình dịch vụ (ví dụ: keystone_authtoken) được đặt giá trị True, điều đó có thể dẫn đến rủi ro gì?",Hệ thống vẫn đảm bảo an toàn tuyệt đối,"Các kết nối TLS có thể bị bỏ qua, làm giảm tính bảo mật",Máy ảo sẽ không thể tách biệt logic,Người dùng không thể thay đổi mật khẩu
Tại sao không nên chia nhỏ hoạt động thành nhiều nhiệm vụ nhỏ khi vẽ sơ đồ chuỗi giá trị?,Vì sẽ giúp biểu đồ dễ đọc,Vì sẽ làm biểu đồ phức tạp và không đạt mục đích mô tả dòng chảy,Vì dễ bỏ sót công việc,Vì giảm số công đoạn hiển thị
"Ràng buộc Mate định nghĩa mối quan hệ nào giữa hai bề mặt, và trong trường hợp nào nên dùng Flush thay vì Mate?",Mate: làm cho hai bề mặt/đường tiếp xúc (đối diện hoặc chồng lên nhau); dùng Flush khi cần hai bề mặt song song hoặc cùng hướng.,Mate: tạo khoảng cách cố định giữa hai trục; Flush: dùng để tạo tâm lỗ.,Mate: áp dụng cho ren và rãnh; Flush: áp dụng cho lỗ tròn.,Mate: ràng buộc tiếp tuyến giữa hai đường cong; Flush: giữ khoảng cách không đổi giữa hai mặt.
Vì sao ký hiệu hóa mối hàn lại quan trọng trong thiết kế cơ khí?,"Giúp tiêu chuẩn hóa, truyền đạt rõ ràng yêu cầu kỹ thuật, tránh sai sót khi chế tạo",Giúp bản vẽ đẹp hơn,Giảm số ký hiệu trên bản vẽ,Thay thế cho kiểm tra chất lượng
Mỗi tổ hợp không dây FSMBL-001 quản lý tối đa bao nhiêu đầu báo khói WSD-1?,10,30,50,300
"Trong quy ước vẽ then hoa, nét liền đậm và nét liền mảnh dùng để thể hiện gì?",Liền đậm: đường tâm; Liền mảnh: đường đối xứng,Liền đậm: đường kích thước; Liền mảnh: đường ghi chú,Liền đậm: đường mặt đáy; Liền mảnh: đường chân ren,Liền đậm: mặt đỉnh răng; Liền mảnh: mặt đáy răng và đường tròn cơ bản
Linh kiện nào có chức năng hạn chế dòng điện chạy qua mạch?,Điện trở,Tụ điện,Transistor,Diode
Công cụ nào được dùng để chèn một chi tiết có sẵn vào môi trường lắp ráp?,Assemble → Create,Assemble → Place,Assemble → Pattern,Assemble → Mirror
"Dựa vào bảng ""Các nhóm nhiệm vụ ưu tiên thực hiện"", tổng nguồn vốn từ ""Doanh nghiệp, Xã hội hóa"" cho các nhiệm vụ thuộc nhóm ""Giáo dục thông minh"" được liệt kê trong tài liệu là bao nhiêu?","14,00 tỷ đồng","5,00 tỷ đồng","20,50 tỷ đồng","30,10 tỷ đồng"
"Nếu muốn trình chiếu lặp lại liên tục từ đầu đến khi nhấn Esc, bạn cần chọn tùy chọn nào trong hộp thoại “Setup Slide Show”?",Show without animation,Loop continuously until 'Esc',"Using timings, if present",Browsed by an individual (window)
Tóm tắt các loại linh kiện điện tử phổ biến và vai trò của chúng trong cuộc sống.,"Điện trở, tụ điện, cuộn cảm, transistor, diode, IC… giúp kiểm soát dòng điện và duy trì hoạt động của thiết bị điện tử",Chỉ gồm linh kiện thụ động,Chỉ gồm linh kiện chủ động,Chỉ gồm linh kiện cơ điện
Doanh nghiệp nên dùng công cụ nào khác khi muốn phân tích chi tiết để tối ưu hóa từng công đoạn thay vì chỉ mô tả dòng chảy tổng thể?,VSM,Sơ đồ tổ chức,"Các công cụ cải tiến chuyên sâu khác (ví dụ Kaizen, Six Sigma)",Biểu đồ cột
"Nếu một mạch điện cần chỉnh lưu dòng AC thành DC, linh kiện nào được lựa chọn?",Điện trở,Diode,Tụ điện,Transistor
"Trong khu vực bảo vệ nguồn nước, bán kính bảo vệ tối thiểu của giếng khoan nước ngầm là bao nhiêu mét, và nội dung nào bị cấm trong khu vực này?","25m; cấm xây dựng, đào hố phân, đổ rác, chăn nuôi","100m; cấm xây dựng, chăn nuôi, trồng cây ăn quả","200m; cấm xây dựng, tắm giặt, xả nước thải","300m; cấm xây dựng, trồng rau màu, khai thác cát"
"Trong quy trình xử lý sự cố an toàn thông tin, nhiệm vụ chính của Tier 1 là gì, và công cụ nào được sử dụng để quản lý ticket sự cố?","Tier 1 tiếp nhận, xác minh cảnh báo ban đầu; công cụ sử dụng là SOAR.",Tier 1 trực tiếp khắc phục sự cố nghiêm trọng; công cụ sử dụng là SIEM.,Tier 1 chỉ tham gia khi Tier 2 yêu cầu hỗ trợ; công cụ sử dụng là Email nội bộ.,Tier 1 quản lý kế hoạch ứng cứu tổng thể; công cụ sử dụng là Excel.
"Trong 5 giai đoạn của VSM, giai đoạn nào liên quan đến việc xây dựng sơ đồ hiện tại và giai đoạn nào tập trung vào nhận diện cơ hội cải tiến?",Giai đoạn I và V,Giai đoạn I và II,Giai đoạn II và III,Giai đoạn III và IV
"Trong tiêu chuẩn về bảo hành và việc đáp ứng bảo hành theo yêu cầu, nhà thầu được đánh giá là Đạt khi đáp ứng những điều kiện nào dưới đây?","Thời gian bảo hành ≥ 12 tháng, riêng hệ thống đèn Led ≥ 5 năm, có thuyết minh phương án bảo hành phù hợp","Thời gian bảo hành < 12 tháng, hệ thống đèn Led ≤ 5 năm.",Thời gian thực hiện công tác bảo hành trong vòng 24 giờ sau khi nhận thông báo.,Thời gian thực hiện công tác bảo hành chậm hơn 48 giờ sau khi nhận thông báo.
"Nếu khách hàng cần một chiếc xe nhỏ gọn, tiết kiệm nhiên liệu (4.8L/100km ngoài đô thị) và nhiều công nghệ an toàn, Toyota Raize có phù hợp không?","Có, vì xe tiết kiệm xăng, trang bị an toàn đầy đủ, tiện nghi phong phú","Không, vì xe chỉ hợp chạy đô thị","Không, vì xe không tiết kiệm nhiên liệu","Có, vì kiểu dáng đẹp"
"Trong Lean, 'lãng phí' được định nghĩa là gì?",Hoạt động tiêu tốn nhiều nguyên liệu,Hoạt động tiêu tốn nhiều nhân công,Hoạt động không làm tăng giá trị cho sản phẩm,Hoạt động làm giảm năng suất lao động
"Theo Bảng 2.1, tổng công suất lắp đặt của 10 nhà máy thủy điện công suất lớn (từ 100 MW trở lên) tại vùng Trung du miền núi phía Bắc (TDMNPB) là bao nhiêu?",14.310 MW,4.569 MW,7.172 MW,2.344 MW
Diode có chức năng gì và thường được sử dụng trong ứng dụng nào?,"Cho dòng đi một chiều, tạo ánh sáng","Chỉnh lưu dòng AC, khuếch đại tín hiệu","Cho dòng đi một chiều, chỉnh lưu AC thành DC","Lưu trữ năng lượng, phát hiện tín hiệu"
"Khi ghi ký hiệu mối hàn, tại sao không cần vẽ chi tiết từng lớp vật liệu đắp?",Vì bản vẽ hàn không yêu cầu kỹ thuật,Vì không quan trọng,Vì ký hiệu tiêu chuẩn đã đủ để thể hiện thông tin cần thiết,Vì thợ hàn sẽ tự chọn
Hãy tóm tắt các nhóm linh kiện điện tử quan trọng và vai trò của chúng trong nghề sửa chữa điện tử.,"Chỉ có điện trở, tụ điện và diode",Chủ yếu là transistor và IC,"Gồm điện trở, tụ điện, cuộn cảm, diode, transistor, IC, triac/thyristor, biến trở, LED và cảm biến; chúng có chức năng từ lưu trữ, điều khiển, khuếch đại đến phát sáng và chuyển đổi tín hiệu",Chủ yếu là cảm biến và LED
"Để kiểm tra số bậc tự do còn lại của chi tiết trong lắp ráp, ta dùng công cụ nào?",Inspect,Constraint,Degree of Symmetry,Degrees of Freedom Indicator
Đâu là tóm tắt đúng nhất về các điều kiện tối ưu cho quá trình lên men vang dứa Queen bằng chủng S. cerevisiae D8?,"pH=3, đường 200 g/l, oxy 5 mg/l, men giống 2%, nhiệt độ 24°C","pH=4, đường 220 g/l, oxy 7 mg/l, men giống 5%, nhiệt độ 28°C","pH=5, đường 250 g/l, oxy 9 mg/l, men giống 10%, nhiệt độ 32°C","pH=3.5, đường 170 g/l, oxy 6 mg/l, men giống 7%, nhiệt độ 36°C"
"Trong hình chiếu vuông góc trục, tại sao không cần vẽ phần vát đầu răng và khe hở của then hoa?",Vì theo quy ước để đơn giản hóa bản vẽ mà vẫn đảm bảo ý nghĩa kỹ thuật,Vì không có tác dụng cơ khí,Vì không thể hiện được trên giấy,Vì tiêu chuẩn cấm vẽ
"Nếu một bóng đèn LED tiêu thụ công suất 10W, hoạt động liên tục trong 5 giờ, thì lượng điện năng tiêu thụ là bao nhiêu Wh?",10,25,40,50
Tần suất bảo dưỡng thiết bị mạng theo tháng được quy định là bao nhiêu?,1 lần/tuần,1 lần/tháng,1 lần/3 tháng,2 lần/tháng
"Hãy xác định (i) năm DSA được NIST công nhận là chuẩn chữ ký số, và (ii) tên của một thành phần trong PKI có nhiệm vụ xác minh thông tin nhận dạng của người dùng.
",Năm 1991; Registration Authority (RA) ,Năm 1977; Certificate Policy,"
Năm 1991; Validation Authority (VA) ", Năm 2001; Central Directory
"Ký hiệu phụ trong ghi chú mối hàn cho biết thông tin gì, và nó khác ký hiệu bổ sung ở điểm nào?",Phụ: vật liệu; Bổ sung: số đoạn hàn,Phụ: đặc điểm bề mặt; Bổ sung: các đặc trưng khác của mối hàn,Phụ: đường kính que hàn; Bổ sung: nguồn điện hàn,Không có sự khác biệt
"Theo tài liệu, DSA có ưu điểm nổi bật nào so với RSA?



",Quá trình kiểm tra nhanh hơn,Quá trình ký và sinh khóa nhanh hơn,Có thể dùng cho cả mã hóa và chữ ký,Độ an toàn cao hơn tuyệt đối so với RSA
Có bao nhiêu loại hồ sơ tài liệu chính cần được lập và lưu trữ cho mỗi thiết bị theo quy trình này (theo BM1 đến BM9)?,5 loại,7 loại,9 loại,10 loại
Lợi ích chính của việc áp dụng VSM trong Lean là gì?,Giảm chi phí nhân sự,Tăng số lượng sản phẩm,"Giúp xác định nút thắt, loại bỏ lãng phí và cải thiện dòng chảy giá trị",Đảm bảo sản phẩm có chất lượng cao hơn
Ký hiệu cơ bản của mối hàn thể hiện điều gì?,Hình dạng mặt cắt mối hàn,Vật liệu hàn,Chiều dài đường hàn,Quy trình công nghệ
"Theo tài liệu Public_161, thành phần nào trong chứng chỉ số đóng vai trò ký để đảm bảo tính xác thực và toàn vẹn?", Khóa công khai của người dùng,BKhóa riêng của người dùng,Chữ ký số của CA (Certificate Authority) ,Thông tin nhận dạng trong trường Subject
"Trong phương án 2 của phần thực nghiệm, số lượng điểm dữ liệu được sử dụng để training và testing là bao nhiêu?",59 điểm training và 14 điểm testing,7 điểm training và 67 điểm testing,59 điểm training và 15 điểm testing,80 điểm training và 20 điểm testing
"Theo tài liệu, trong cuộc khảo sát các nhà quản lý và chuyên gia tại 14 tỉnh vùng Trung du miền núi phía Bắc, có bao nhiêu phiếu khảo sát hợp lệ đã được thu về?",530,137,221,142
Vì sao quy trình yêu cầu dán nhãn “THIẾT BỊ KHÔNG SỬ DỤNG” đối với những trang thiết bị không còn vận hành?,Vì chi phí xây dựng cao tốc trong đô thị cao hơn nhiều,"Vì đường cao tốc đi xuyên đô thị sẽ gây nguy cơ mất an toàn giao thông, ô nhiễm và cản trở phát triển không gian đô thị.",Vì luật chỉ cho phép xây dựng cao tốc ở nông thôn.,"Vì cao tốc chỉ phù hợp với vận tải hàng hóa, không liên quan đến đô thị."
"Vì sao dây lưỡng kim (lõi sắt, vỏ đồng) vẫn có khả năng dẫn điện gần như dây đồng nguyên chất?",Do hiệu ứng mặt ngoài trong dẫn điện,Do sắt có điện trở suất thấp hơn đồng,Do lõi sắt chịu lực cơ học tốt hơn,Do đồng chống ăn mòn tốt hơn
Mục tiêu chính của việc lập sơ đồ chuỗi giá trị trong doanh nghiệp là gì?,Thể hiện chi tiết từng nhiệm vụ sản xuất,Mô tả và phân tích dòng vật chất và thông tin trong sản xuất,Đếm số công nhân,Quản lý kho vật tư
Lớp sơn bảo vệ chống ăn mòn của kết cấu thép phải phù hợp với tiêu chuẩn nào?,TCXDVN 314:2005,TCXDVN 338:2005,TCXDVN 334:2005,TCXDVN 352:2005
Tỉnh nào có sản lượng điện mặt trời cao nhất vùng TDMNPB và chiếm tỷ lệ bao nhiêu?,"Sơn La, chiếm 46,8%","Điện Biên, chiếm 21,5%","Hòa Bình, chiếm 12,1%","Bắc Giang, chiếm 6,5%"
Tài liệu hướng dẫn bảo trì bảo dưỡng hệ thống mạng đề cập đến mấy chu kỳ bảo dưỡng định kỳ chính?,2 chu kỳ,3 chu kỳ,4 chu kỳ,5 chu kỳ
hệ thống cấp nước nào thuộc bậc tin cậy I và II?,"Các xí nghiệp luyện kim, chế biến dầu lửa",Các hệ thống cấp nước sinh hoạt trên 50.000 dân,"Các xí nghiệp khai thác mỏ, chế tạo cơ khí",Các hệ thống cấp nước của khu công nghiệp nhỏ
Hệ thống lọc số FIR có đặc điểm gì về pha?,Pha tuyến tính,Pha không tuyến tính,Đáp ứng vô hạn,Không ổn định
những loại công nghiệp nào có chỉ tiêu cấp điện ≥ 250 kW/ha,"Công nghiệp nặng (luyện gang, thép, xi măng, hóa dầu…)","Công nghiệp vật liệu xây dựng, cơ khí","Công nghiệp chế biến lương thực, thực phẩm, điện tử","Công nghiệp giày da, may mặc"
"Trong quá trình khởi động, đèn LED nào sẽ sáng để báo đồng bộ trên trunk A và trunk B?",SYN A và SYN B,Power và Status,Reset và Tx/Rx,Audio In và Audio Out
Mục đích chính của biểu đồ phân bố là gì?,Xác định chi phí sản xuất,Đo lường dung sai thiết bị,Theo dõi sự phân bố thông số và đánh giá năng lực quá trình,Kiểm soát tồn kho
Điện trở có chức năng chính là gì?,Hạn chế dòng điện,Lưu trữ điện năng,Khuếch đại tín hiệu,Phát sáng
"Dựa vào Bảng 3.2 của Tài liệu Public_595, hãy tính chênh lệch về lượng CO2 sinh ra (g/100ml) sau 96 giờ lên men giữa chủng có hoạt lực mạnh nhất (D8) và chủng có hoạt lực yếu nhất (D1)","1,53","2,21","2,53","2,87"
"Nếu trong vòng 6 tháng một thiết bị mạng đã xảy ra switchover ngoài kế hoạch, thì trong lần bảo dưỡng 6 tháng kế tiếp có cần lặp lại thao tác switchover không?","Có, vì phải làm định kỳ bất kể tình huống","Không, vì lần switchover ngoài kế hoạch được tính như đã thực hiện định kỳ","Có, vì quy trình bắt buộc phải chạy lại để đảm bảo tính đồng bộ","Không, nhưng cần báo cáo để xin phê duyệt"
Mối ghép bằng then có tác dụng chính là gì?,"Truyền mômen giữa trục và chi tiết lắp (puli, bánh răng)",Liên kết vĩnh viễn không tháo được,Giảm ma sát trong ổ trượt,Tăng độ nhẵn bề mặt
"Theo tài liệu, độ gợn râu dừng (stopband ripple) của bộ lọc Chebyshev I (IIR) xấp xỉ bao nhiêu?",20 dB,50 dB,65 dB,80 dB
"Trong các lợi ích sau, lợi ích nào của công nghệ ảo hóa được nêu trong tài liệu Public_609?",Giảm chi phí điện năng và làm mát,Loại bỏ hoàn toàn nhu cầu máy chủ vật lý,Giảm thời gian chết (downtime) khi bảo trì,Tăng tốc độ truyền dữ liệu internet
Transistor có mấy loại chính được nhắc đến trong tài liệu Public_565?,1 loại,2 loại,3 loại,4 loại
Một trong những nguyên tắc của kiến trúc ICT cho đô thị thông minh được nêu trong tài liệu là gì? ,Phụ thuộc vào một nhà cung cấp duy nhất để đảm bảo tính đồng bộ,Hướng dịch vụ (SOA - Service Oriented Architecture),"Kiến trúc cố định, không thể mở rộng để đảm bảo sự ổn định.",Chỉ phục vụ cho khu vực công
"Nếu một hợp kim có điện trở suất cao nhưng giá thành rẻ, ứng dụng phù hợp nhất là gì?",Dây dẫn cao cấp,Cầu chì bảo vệ quá dòng,Mạ vỏ ngoài siêu cao tần,Vỏ bọc cáp chôn
Quy trình bảo trì định kỳ tủ điện phân phối chính/nhánh gồm bao nhiêu nhóm công việc chính?,3 nhóm,4 nhóm,5 nhóm,6 nhóm
"Trong quá trình chế tạo kết cấu thép:

Chất lượng làm sạch bề mặt phải tuân theo TCXDVN 334:2005.

Không được sơn phủ tại xưởng chế tạo, chỉ được sơn tại hiện trường.
Nhận định nào sau đây là đúng?",Đúng cả hai ý,Sai cả hai ý,Chỉ đúng ý thứ nhất,Chỉ đúng ý thứ hai
"Dựa trên kết quả nghiên cứu, kết luận chính về hiệu quả của các dẫn xuất VK3-9 và VK3-10 trong việc chống lại sự kết tập của amyloid peptid so với Curcumin là gì?",Yếu hơn đáng kể so với Curcumin.,Chỉ có tác dụng ở nồng độ cao.,Mạnh tương đương Curcumin.,Chỉ có tác dụng với một loại amyloid peptid.
Tóm tắt vai trò của máy SMT-P&P trong dây chuyền sản xuất điện tử.,"Gắp thả, định vị linh kiện điện tử trên mạch với tốc độ và độ chính xác cao",Tăng năng suất sản xuất,Giảm chi phí nhân công,Đảm bảo chất lượng hàn
"Trong danh mục Public_628, có bao nhiêu máy móc thiết bị được dùng để 'Kiểm định, hiệu chuẩn áp suất'?",10,12,15,18
Danh mục thiết bị trong tài liệu Public_632 được chia thành các nhóm nào?,"Máy chụp cộng hưởng từ, máy CT, máy PET-CT","Máy X-quang di động DR, Máy X-quang DR 2 tấm cảm biến, Hệ thống nội soi tiêu hóa ống mềm video","Máy siêu âm, máy điện tim, máy gây mê","Máy chụp mạch số hóa, máy xạ trị, máy siêu âm nội soi"
"Dựa vào Bảng 3.4, số lượng gen và chỉ số N50 (bp) của mẫu mô lá L4.1 lần lượt là bao nhiêu?",70.526 và 1.127,68.454 và 1.033,81.480 và 1.325,47.870 và 870
"Trong quy trình xử lý sự cố ATTT, những bộ phận nào chịu trách nhiệm tiếp nhận và xử lý sự cố khi Tier 1 không thể xử lý được?",Tier 2,Tier 3,SOC Manager,Ban lãnh đạo
"Nếu cần truyền công suất lớn giữa hai trục cách xa nhau, lựa chọn bộ truyền nào là phù hợp nhất?",Bộ truyền ma sát trụ,Bộ truyền đai dẹt,Bộ truyền bánh răng trụ,Nối cứng
Các biểu tượng nào thường được dùng trong sơ đồ chuỗi giá trị?,"Khách hàng, quảng cáo, báo cáo tài chính","Khách hàng, nhà cung cấp, hộp hoạt động, dòng thông tin, dòng thành phẩm","Nhà cung cấp, sản phẩm lỗi, chi phí","Thông tin thị trường, lợi nhuận, KPI"
Điện trở có vai trò gì và được sử dụng để làm gì trong mạch điện?,"Tạo dòng điện xoay chiều, phát sáng","Hạn chế dòng điện, kiểm soát tín hiệu trong mạch","Lưu trữ điện năng, phát ra điện áp cao","Khuếch đại tín hiệu, tạo từ trường"
Mục tiêu chính của phương pháp 5S là gì?,Cải tiến môi trường làm việc để nâng cao hiệu quả và an toàn,Kiểm soát chất lượng sản phẩm đầu ra,Tăng cường marketing,Chuẩn hóa báo cáo tài chính
Tụ điện được chia thành hai loại chính nào?,Tụ sứ và tụ mica,Tụ gốm và tụ điện phân,Tụ cuộn và tụ lá,Tụ pin và tụ sạc
Vì sao trong bảo trì hệ thống tủ điện cần siết chặt lại các điểm đấu nối cáp động lực và thanh cái?,Vì thao tác này giúp giảm chi phí vật tư thay thế.,"Vì tiếp xúc kém tại các điểm nối có thể gây phát nhiệt, dẫn đến nguy cơ cháy nổ hoặc gián đoạn vận hành.","Vì quy định bắt buộc phải làm, không liên quan đến an toàn.",Vì giúp tăng khả năng chịu tải vượt mức thiết kế của hệ thống.
So sánh nhôm và đồng đỏ: chúng giống và khác nhau thế nào về điện trở suất và khả năng chống ăn mòn?,"Giống ở điện trở suất, khác ở chống ăn mòn",Khác ở cả điện trở suất lẫn khả năng chống ăn mòn,"Giống ở khả năng chống ăn mòn, khác ở nhiệt độ nóng chảy",Không có điểm chung nào
"Trong thiết kế hệ thống phun theo TCVN 7336:2020, **công thức lưu lượng qua đầu phun** và **giới hạn vận tốc trong ống áp lực** được quy định thế nào?","$Q = K\,P$; $v \le 2{,}8\,\mathrm{m/s}$","$Q = \dfrac{K}{\sqrt{P}}$; $v \le 10\,\mathrm{m/s}$","$Q = K\,\sqrt{P}$; $v \le 10\,\mathrm{m/s}$","$Q = \dfrac{P}{K}$; $v \le 15\,\mathrm{m/s}$"
Thiết bị kiểm định đồng hồ nước lạnh DN50-150 có mục đích sử dụng là gì?,Kiểm định đồng hồ nước lạnh đường kính từ 50 đến 150 mm,Kiểm định đồng hồ khí công nghiệp,Kiểm định thước cuộn,Kiểm định thấu kính đo thị lực
Vật liệu nào thường được dùng để mạ vỏ ngoài dây dẫn trong lĩnh vực siêu cao tần do có hiệu ứng mặt ngoài?,Đồng thau,Bạc,Sắt,Thiếc
